xml:id,Titre de l'oeuvre,Wikidata,Artiste (xml:id),Auteur modèle,Type d'oeuvre,Ref bibliographie,Page bibliographie,Note,Niveau de certitude,Institution de conservation,Lieu de conservation d'après le texte,n° d'inventaire,Lien image,Technique,Datation,Datation début,Datation fin,Lien vers d'autres répertoires
MantegnaChristAndreLongin,"Le Christ ressuscité entre saint André et Longin",https://www.wikidata.org/wiki/Q56305286,,,Estampe,lightbrownMantegnaCompleteCatalogue1986,n° 206,,,,,,,,,,,
RaimondiJugementParis,Le Jugement de Paris,,,,Estampe,straussIllustratedBartsch261978,n° 245-I (197),Seulement un lien wikidata pour la fresque perdue,,,,,,,,,,
RaimondiEnlevementHelene,L'enlèvement d'Hélène,,,,Estampe,,,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b10464978w,,,,,
RaimondiMartyreCecile,Martyre de Sainte Cecile,,,,Estampe,straussIllustratedBartsch261978,n° 117 (104),Ill. B. sainte félicité,,,,,https://gallica.bnf.fr/ark:/12148/btv1b69532745,,,,,
RaimondiVenusAmourNiche,Vénus et l'amour dans une niche,,,,Estampe,,,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b69533006.item,,,,,
RaimondiNoe,Dieu apparaissant à Noé,,,,Estampe,straussIllustratedBartsch261978,n° 3 (4),"Noé dans bartsch, abraham selon d'autres",,,,,https://www.metmuseum.org/art/collection/search/342524,,,,,
RaimondiParnasse,Parnasse,,,,Estampe,straussIllustratedBartsch261978,n° 247 (200),,,,,,,,,,,
RaimondiGalatee,Galatée,,,,Estampe,,,,,,,,,,,,,
RaimondiAllegoriePaix,Allégorie de la Paix,,,,Estampe,,,,,,,,https://www.metmuseum.org/art/collection/search/342647,,,,,
RaimondiVertus,Vertus théologales et cardinales,,,,Estampe,,,,,,,,https://www.rct.uk/collection/851946,,,,,
RaimondiChristApotres,,,,,Estampe,straussIllustratedBartsch261978,n° 52 (58) ou n° 53 (60),,,,,,https://www.rct.uk/collection/852888/christ-eleven-apostles-and-st-paul-christ-and-twelve-apostles,,,,,
RaimondiViergeFoligno,,,,,Estampe,,,,,,,,https://www.britishmuseum.org/collection/object/P_H-1-46,,,,,
RaimondiRavennaMadonnaPesce,,,,,Estampe,straussIllustratedBartsch261978,n° 54 (61),Raimondi ou Ravenna,,,,,https://www.britishmuseum.org/collection/object/P_1862-1213-43,,,,,
RaimondiJeanBaptisteAssisDesert,,,,,Estampe,,,PROBLEME ou https://sammlungenonline.albertina.at/en/objects/124959,,,,,https://www.boijmans.nl/collectie/kunstwerken/63420/johannes-de-doper-in-de-woestijn,,,,,
RaimondiSainteCecile,,,,,Estampe,,,,,,,,https://collections.louvre.fr/ark:/53355/cl020519229,,,,,
RaimondiPredicationSaintPaul,Predication de saint Paul,https://www.wikidata.org/wiki/Q125732373,,,Estampe,straussIllustratedBartsch261978,n° 44 (50),,,,,,,,,,,
VenezianoElymas,,,,,Estampe,straussIllustratedBartsch261978,n° 43 (48),,,,,,,,,,,
RaimondiDescenteCroix,,,,,Estampe,straussIllustratedBartsch261978,n° 32 (37),,,,,,,,,,,
RaimondiPortementCroix,,,,,Estampe,straussIllustratedBartsch261978,n° 28-I (34),,,,,,,,,,,
GraveurAnonymeEneeAnchise,Enee et Anchise,,,,Estampe,straussIllustratedBartsch261978,n° 186 (152),L'embrasement de Troie manque,,,,,,,,,,
RaimondiChristPaulCatherine,"Le Christ, la Vierge et saint Jean avec saint Paul et sainte Catherine",,,,Estampe,straussIllustratedBartsch261978,n° 113 (100),,,,,,,,,,,
RaimondiClementVII,Portrait de Clement VII,,,,Estampe,,,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b69534365.item,,,,,
VenezianoCharlesQuint,,,,,Estampe,straussIllustratedBartsch271978,n° 524-I (380) ou n° 524-II (380),,,,,,https://sammlungenonline.albertina.at/en/objects/394022/,,,,,
VenezianoCharlesQuintVieux,,,,,Estampe,straussIllustratedBartsch271978,n° 499 (371),Ni sur Albertina ni sur british museum,,,,,,,,,,
VenezianoFerdinand,,,,,Estampe,straussIllustratedBartsch271978,n° 500 (372),,,,,,,,,,,
RaimondiAretin,,,,,Estampe,straussIllustratedBartsch271978,n° 513 (374),,,,,,,,,,,
RaimondiDouzeCesars,Portraits en médaille des douze Césars,,,,Estampe,straussIllustratedBartsch271978,n° 501-I (372) à 512-I (374),,,,,,,,,,,
RaimondiHommeDrapeau,L'homme au drapeau,,,,Estampe,straussIllustratedBartsch271978,n° 481 (357),,,,,,,,,,,
RaimondiHommeBaseColonne,L'homme portant la base d'une colonne,,,,Estampe,straussIllustratedBartsch271978,n° 476 (354),,,,,,,,,,,
RaimondiAurore,Le Lever de l'Aurore,,,,Estampe,straussIllustratedBartsch261978,n° 293 (222),,,,,,,,,,,
RaimondiMadeleineMarie,Notre Dame de l'escalier,,,,Estampe,straussIllustratedBartsch261978,n° 45 (51),PROBLEME,INCERTAIN,,,,https://sammlungenonline.albertina.at/en/objects/393550,,,,,
VenezianoEvangelistesRomano,Quatre évangélistes,,,,Estampe,straussIllustratedBartsch261978,n° 92 (83) à n° 95 (83),,,,,,,,,,,
RaimondiDavidGoliath,,,,,Estampe,straussIllustratedBartsch261978,n° 10-I (12),,,,,,,,,,,
VenezianoManne,La Manne,,,,Estampe,straussIllustratedBartsch261978,n° 8 (10),,,,,,,,,,,
RaimondiReineSaba,La reine de Saba,,,,Estampe,straussIllustratedBartsch261978,n° 13 (13),,,,,,,,,,,
RaimondiMartyreSaintLaurent,Martyre de Saint Laurent,,,,Estampe,straussIllustratedBartsch261978,n° 104 (89),,,,,,,,,,,
RaimondiMariesPleurantChristMort,Les Maries pleurant le Christ mort,,,,Estampe,straussIllustratedBartsch261978,n° 37 (43),PROBLEME,INCERTAIN,,,,,,,,,
DenteCene,Cène,,,,Estampe,straussIllustratedBartsch261978,n° 27 (33),,,,,,,,,,,
DenteAnnonciation,Annonciation,,,,Estampe,straussIllustratedBartsch261978,n° 15 (16),,,,,,,,,,,
VenezianoPsyche,Histoire de Psyché (3 planches),,,,Estampe,straussIllustratedBartsch261978,n° 236 (190),,,,,,,,,,,
RaimondiTroisGraces,Les trois graces,,,,Estampe,straussIllustratedBartsch271978,n° 340 (255),,,,,,,,,,,
DenteMassacreInnocents,Massacre des Innocents,,,,Estampe,straussIllustratedBartsch261978,n° 21 (24),,,,,,,,,,,
VenezianoChristTroisAnges,Christ mort soutenu par trois anges,,,,Estampe,straussIllustratedBartsch261978,n° 40 (45),,,,,,,,,,,
DaCarpiSybilleFlambeau,,,,,Estampe,straussIllustratedBartsch481983,n° 6 (89),,,,,,,,,,,
DaCarpiDescenteCroix,,,,,Estampe,straussIllustratedBartsch481983,n° 22 (43),,,,,,,,,,,
DaCarpiDavidGoliath,,,,,Estampe,straussIllustratedBartsch481983,n° 8 (26),,,,,,,,,,,
DaCarpiMortAnanias,La Mort d'Ananias,,,,Estampe,straussIllustratedBartsch481983,n° 27 (46),,,,,,,,,,,
VenezianoAnanias,,,,,Estampe,straussIllustratedBartsch261978,n° 42 (47),,,,,,,,,,,
DaCarpiEneeAnchise,Enée et Anchise,,,,Estampe,straussIllustratedBartsch481983,n° 12 (104),,,,,,,,,,,
DaCarpiDiogene,,,,,Estampe,straussIllustratedBartsch481983,n° 10 (100),,,,,,,,,,,
DaTrentoMartyrePierrePaul,,,,,Estampe,straussIllustratedBartsch481983,n° 28 (79),,,,,,,,,,,
DaTrentoSibylle,,,,,Estampe,straussIllustratedBartsch481983,n° 7 (90),,,,,,,,,,,
DapParmesanViergeOvale,,,,,Estampe,straussIllustratedBartsch481983,n° 12 (56),,,,,,,,,,,
ParmesanEauforteNativité,,,,,Estampe,straussIllustratedBartsch321979,n° 3 (7),,,,,,,,,,,
ParmesanEauforteTombeau,,,,,Estampe,straussIllustratedBartsch321979,n° 5 (8),,,,,,,,,,,
ParmesanPierreJeanMalades,Saint Pierre et saint Jean guérissent les malades à la porte du temple,,,,Estampe,straussIllustratedBartsch321979,n° 7 (9),,,,,,,,,,,
CaraglioDieux,Série des vingt dieux dans des niches,,,,Estampe,straussIllustratedBartsch281985,n° 24 (77) - 43-20 (84),,,,,,,,,,,
CaraglioPlutonProserpine,Pluton et Proserpine,,,,Estampe,straussIllustratedBartsch281985,n° 22 (76),A voir si on le considère comme une série avec des images,,,,,,,,,,
CaraglioSaturnePhilyra,Saturne et Phylira,,,,Estampe,straussIllustratedBartsch281985,n° 23 (76),A voir si on le considère comme une série avec des images,,,,,,,,,,
CaraglioRaptSabines,Le rapt des sabines,,,,Estampe,straussIllustratedBartsch281985,n° 63 (96),,,,,,,,,,,
CaraglioMariageVierge,Mariage de la Vierge,,,,Estampe,straussIllustratedBartsch281985,n° 1 (66),,,,,,,,,,,
CaraglioAnnonciation,Annonciation,,,Titien,Estampe,straussIllustratedBartsch281985,,,,,,,,,,,,
CaraglioAdorationBergers,,,,,Estampe,straussIllustratedBartsch281985,,,,,,,,,,,,
CaraglioViergeJBRaphael,,,,Raphael,Estampe,straussIllustratedBartsch281985,,,,,,,,,,,,
GBScultoriViergeCroissant,,,,,Estampe,straussIllustratedBartsch311986,n° 4 (378),,,,,,,,,,,
GBScultoriTetesSoldats,,,,,Estampe,straussIllustratedBartsch311986,n° 18 (383),,,,,,,,,,,
GBScultoriCavalier,,,,,Estampe,straussIllustratedBartsch311986,n° 15 (382),,,,,,,,,,,
GBScultoriGuerrierEtendard,,,,,Estampe,straussIllustratedBartsch311986,n° 16 (382),,,,,,,,,,,
GBScultoriMarsVenus,,,,,Estampe,straussIllustratedBartsch311986,n° 13 (381),,,,,,,,,,,
GBScultoriTroi,,,,,Estampe,straussIllustratedBartsch311986,n° 20 (383),,,,,,https://www.metmuseum.org/art/collection/search/361905,,,,,
VicoFillesPierus,,,,,Estampe,straussIllustratedBartsch311986,n° 29 (296),,,,,,https://www.worthpoint.com/worthopedia/enea-vico-rosso-fiorentino-1540-vicos-1927229363,,,,,
VicoCentauresLapites,,,,,Estampe,spikeIllustratedBartsch301985,n° 30 (296),,,,,,https://www.britishmuseum.org/collection/object/P_W-3-131,,,,,
VicoVulcainFleches,Vulcain et les Cyclopes forgent les flèches pour les Amours,,,,Estampe,spikeIllustratedBartsch301985,n° 31 (297),,,,,,,,,,,
CarracheCrisBologne,Cris de Bologne,,Guillain,,Estampe,IFF V,"p. 150, n°4-83",,,,,,,,,,,
GuillainFrontispiceCarrache,Frontispice et potrait d'Annibale Carrache,,,,Estampe,IFF V,"p. 150, n°3",,,,,,,,,,,
LeonardManuscritMotoMisuraAcqua,Del moto e misura dell'acqua,,LeonardoDaVinci,,Manuscrit,,,,,Bibliotheque Vaticane,Vatican,Barb.lat.4332,https://digi.vatlib.it/mss/detail/Barb.lat.4332,,,,,
TitienBacchusAriane,Bacchus et Ariane,https://www.wikidata.org/wiki/Q1206860,Titien,,Peinture,,,,,National Gallery,,NG35,https://www.nationalgallery.org.uk/paintings/titian-bacchus-and-ariadne,,1520-1523,1520,1523,
VeroneseCana,Noces de Cana,https://www.wikidata.org/wiki/Q185255,PaoloVeronese,,Peinture,,,,,Louvre,,INV 142 ; MR 384,https://collections.louvre.fr/ark:/53355/cl010064382,,,,,
RaphaelPalaOddi,Retable Oddi,https://www.wikidata.org/wiki/Q2344357,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 8 A,,,,,,,,,,,
RaphaelAnnonciationOddi,Annonciation (Prédelle de la Pala Oddi),https://www.wikidata.org/wiki/Q116286717,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 8 B,,,,,,,,,,,
RaphaelAdorationMagesOddi,Adoration des Mages (Prédelle de la Pala Oddi),AUCUN,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 8 C,,,,,,,,,,,
RaphaelPresentationTempleOddi,Presentation au temple (Prédelle de la Pala Oddi),AUCUN,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 8 D,,,,,,,,,,,
RaphaelPalaSanNicola,Retable Baronci,https://www.wikidata.org/wiki/Q1778000,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 1,,,,,,,,,,,
RaphaelPalaGavari,Crucifixion Mond,https://www.wikidata.org/wiki/Q598913,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 7 A,,,,,,,,,,,
RaphaelSpozalio,Mariage de la Vierge,https://www.wikidata.org/wiki/Q2030685,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 9,,,,,,,,,,,
MichelAngeCascina,Bataille de Cascina,https://www.wikidata.org/wiki/Q2236898,MichelAnge,,Peinture,,,,,,,,,,,,,
LeonardAnghiari,Bataille d'Anghiari,https://www.wikidata.org/wiki/Q2045726,LeonardoDaVinci,,Peinture,,,,,,,,,,,,,
RaphaelMadonnaPrato,La Madone à la prairie,https://www.wikidata.org/wiki/Q2452858,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 26,,,,,,,,,,,
RaphaelSainteFamillePalmier,La Sainte Famille au palmier,https://www.wikidata.org/wiki/Q3212679,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 32,,,,,,,,,,,
RaphaelMadonnaCardellino,La Vierge au chardonneret,https://www.wikidata.org/wiki/Q2344505,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 27,,,,,,,,,,,
RaphaelViergeEnfantErmitage,La Vierge à l'Enfant et saint Joseph,https://www.wikidata.org/wiki/Q2629419,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 29,,,,,,,,,,,
RaphaelMadonnaOrleans,Madone d'Orleans,https://www.wikidata.org/wiki/Q1986597,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 28,,,,,,,,,,,
RaphaelJardinOlivier,Jardin des oliviers,,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 16,"peinture disparue observée pour la dernière fois par Passavent qui fourni une illustration, mentionnée par Dussler qui retrace l'historique",,,,,,,,,,
LoSpagnaRaphaelJardinOlivier,Copie du Jardin des oliviers Raphael,https://www.wikidata.org/wiki/Q26493104,LoSpagna,Raphael,Peinture,,,,,,,,https://www.nationalgallery.org.uk/paintings/probably-by-lo-spagna-the-agony-in-the-garden,,,,,
RaphaelPalaAnsidei,Retable Ansidei,https://www.wikidata.org/wiki/Q2713620,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 16,,,,,,,,,,,
PeruginRaphaelTrinita,La Trinité et six saints,https://www.wikidata.org/wiki/Q3213322,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 68,,,,,,,,,,,
RaphaelPalaColonna,Retable Colonna,https://www.wikidata.org/wiki/Q27033728,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 17,,,,,,,,,,,
RaphaelAgnoloDoni,Portrait d'Agnolo Doni,https://www.wikidata.org/wiki/Q2515309,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 45 A,,,,,,,,,,,
RaphaelMaddalenaDoni,Portrait de Maddalena Doni,https://www.wikidata.org/wiki/Q2607055,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 45 B,,,,,,,,,,,
RaphaelSainteFamilleCanigiani,Sainte Famille Canigiani,https://www.wikidata.org/wiki/Q2713671,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 30,,,,,,,,,,,
RaphaelDepositionBorghese,Déposition Borghèse,https://www.wikidata.org/wiki/Q2500226,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 31,Problème p16 un carton disparu,,,,,,,,,,
RaphaelMadoneBaldaquin,Madone au baldaquin,https://www.wikidata.org/wiki/Q3842604,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 40,"Erreur chez Daret : bien destinée à l'église santo Spirito, il mélange avec la belle jardinière (peut-être destinée à Sienne mais on n'est pas sûr) qui fut terminée par Ghirlandaio",,,,,,,,,,
RaphaelBelleJardiniere,La Belle Jardinière,https://www.wikidata.org/wiki/Q2343778,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2001,n° 35,"Erreur chez Daret : bien destinée à l'église santo Spirito, il mélange avec la belle jardinière (peut-être destinée à Sienne mais on n'est pas sûr) qui fut terminée par Ghirlandaio",,,,,,,,,,
RaphaelChambreSignature,Chambre de la Signature,https://www.wikidata.org/wiki/Q9292247,Raphael,,Peinture,,,,,,,,,,,,,
RaphaelEcoleAthenes,Ecole d'Athènes,https://www.wikidata.org/wiki/Q186953,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 73,,,,,,,,,,,
RaphaelPanasse,Parnasse,https://www.wikidata.org/wiki/Q2715152,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 74,,,,,,,,,,,
RaphaelDisputeSacrement,La Dispute du saint Sacrement,https://www.wikidata.org/wiki/Q549953,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 71,,,,,,,,,,,
RaphaelVertusVatican,Les Vertus cardinales et théologales,https://www.wikidata.org/wiki/Q2568776,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 76,,,,,,,,,,,
RaphaelJulesII,Portrait du pape Jules II,https://www.wikidata.org/wiki/Q686848,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 71,dussler p. 29,,,,,,,,,,
RaphaelViergeLorette,La Vierge de Lorette,https://www.wikidata.org/wiki/Q2427320,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 51,,,,,,,,,,,
RaphaelIsaie,Le Prophète Isaïe,https://www.wikidata.org/wiki/Q3226022,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 69,,,,,,,,,,,
RaphaelGalatee,Le triomphe de Galatée,https://www.wikidata.org/wiki/Q2344368,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 99,,,,,,,,,,,
RaphaelSibyllesProphetesChigi,"Les Sibylles et les Prophètes (Raphaël)",https://www.wikidata.org/wiki/Q1639900,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 93,,,,,,,,,,,
RaphaelViergeFoligno,Vierge de Foligno,https://www.wikidata.org/wiki/Q2610709,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 52,,,,,,,,,,,
RaphaelMesseBolsena,Messe de Bolsena,https://www.wikidata.org/wiki/Q249449,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 80,,,,,,,,,,,
RaphaelDelivrancePierre,La Délivrance de saint Pierre,https://www.wikidata.org/wiki/Q2719737,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 81,,,,,,,,,,,
RaphaelHeliodore,Heliodore chassé du temple,https://www.wikidata.org/wiki/Q2294201,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 79,,,,,,,,,,,
RaphaelChambreHeliodore,Chambre d'Heliodore,https://www.wikidata.org/wiki/Q774018,Raphael,,Peinture,,,,,,,,,,,,,
RaphaelLeonAttila,La Rencontre entre Léon Ier le Grand et Attila,https://www.wikidata.org/wiki/Q2716974,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 81,,,,,,,,,,,
RaphaelMadonnaPesce,La Vierge au poisson,https://www.wikidata.org/wiki/Q2631335,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 54,,,,,,,,,,,
RaphaelMadoneAmourDivin,"La Madone de l'Amour divin",https://www.wikidata.org/wiki/Q3842605,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° A8,,,,,,,,,,,
RaphaelSainteCecile,"L'Extase de sainte Cécile",https://www.wikidata.org/wiki/Q1103801,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 55,,,,,,,,,,,
RaphaelEzechiel,La Vision d'Ézéchiel,https://www.wikidata.org/wiki/Q1134281,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 60,,,,,,,,,,,
RaphaelLaPerla,La Sainte Famille dite La Perla,https://www.wikidata.org/wiki/Q427390,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 64,,,,,,,,,,,
RaphaelBindoAltoviti,"Portrait de Bindo Altoviti",https://www.wikidata.org/wiki/Q2528106,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 72,,,,,,,,,,,
RaphaelViergeImpannata,Vierge de l'Impannata,https://www.wikidata.org/wiki/Q2052275,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 58,,,,,,,,,,,
RaphaelLeonX,"Portrait du pape Léon X",https://www.wikidata.org/wiki/Q2610729,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 81,,,,,,,,,,,
RaphaelLorenzoMedici,Portrait de Lorenzo de' Medici,https://www.wikidata.org/wiki/Q3399434,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 80,,,,,,,,,,,
RaphaelJGiulianoMedici,Portrait de Giuliano de' Medici,/,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° A22,,,,,,https://www.metmuseum.org/fr/art/collection/search/437373,,,,,
RaphaelEtudeOstie,Etude de deux hommes nus pour la bataille d'Ostie (Stanza dell'Incendio di Borgo),/,Raphael,,Peinture,,,,,Vienne,Albertina,17575,https://sammlungenonline.albertina.at/en/objects/26262/zwei-mannerakte-mit-kopfstudie-studie-fur-die-schlacht-von,,,,,
RaphaelVelata,La Velata,https://www.wikidata.org/wiki/Q948034,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 73,,,,,,,,,,,
RaphaelPortementCroix,Portement de Croix,https://www.wikidata.org/wiki/Q2664637,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 59,,,,,,,,,,,
RaphaelChambreIncendieBorgo,Chambre de l'Incendie de Borgo,https://www.wikidata.org/wiki/Q3968260,Raphael,,Peinture,,,,,,,,,,,,,
RaphaelIncendieBorgo,Incendie de Borgo,https://www.wikidata.org/wiki/Q2531790,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 82,,,,,,,,,,,
RaphaelBatailleOstie,Bataille d'Ostie,https://www.wikidata.org/wiki/Q2564496,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 83,,,,,,,,,,,
RaphaelCouronnementCharlemagne,Couronnement de Charlemagne,https://www.wikidata.org/wiki/Q1450935,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 84,,,,,,,,,,,
RaphaelSermentLeonIII,Serment de Léon III,https://www.wikidata.org/wiki/Q1619548,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 85,,,,,,,,,,,
SallePalfreniersVatican,Salle des Palefreniers,https://www.wikidata.org/wiki/Q3945241,,,Peinture,,,,,,,,,,,,,
